area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
3,District,MWI_3_13,Mchinji,female,plhiv,PLHIV,12172.3387034311,704.539601641319,12126.6695073077,12113.817917049,10891.2451886535,13694.235774514
3,District,MWI_3_13,Mchinji,male,plhiv,PLHIV,8520.64371920394,487.57325137944,8508.71160842855,8465.36998336379,7637.81403280149,9499.56770045095
3,District,MWI_3_13,Mchinji,both,unaware_plhiv_num,Number PLHIV unaware,1398.95796758554,279.368495183225,1381.78414477004,1340.71050156673,934.13180577357,1992.42090131683
3,District,MWI_3_13,Mchinji,female,unaware_plhiv_num,Number PLHIV unaware,372.866687715012,75.9158902519277,366.552589239259,357.113729358432,249.776305554061,539.643769142867
3,District,MWI_3_13,Mchinji,male,unaware_plhiv_num,Number PLHIV unaware,1026.09127987053,206.715458926372,1011.81889886654,984.317624783561,681.830750717797,1450.65585323585
3,District,MWI_3_13,Mchinji,both,aware_plhiv_num,Number PLHIV aware,19294.0244550495,1031.7906751575,19248.6323731522,19258.7706078274,17433.8824116632,21366.6452125944
3,District,MWI_3_13,Mchinji,female,aware_plhiv_num,Number PLHIV aware,11799.4720157161,648.475525908278,11757.2724812249,11786.3151349817,10633.2224671534,13113.4625110295
3,District,MWI_3_13,Mchinji,male,aware_plhiv_num,Number PLHIV aware,7494.55243933341,391.287073413173,7485.1146824082,7472.41445970786,6772.72501001119,8307.54160083293
3,District,MWI_3_14,Dedza,both,plhiv,PLHIV,22314.1343951962,1775.95959845949,22192.7415564749,22157.2387292885,19184.813924902,25928.3753458818
3,District,MWI_3_14,Dedza,female,plhiv,PLHIV,13763.8779311104,1117.62788620079,13717.2166466234,13671.428598674,11783.2471306164,16008.8638107848
3,District,MWI_3_14,Dedza,male,plhiv,PLHIV,8550.25646408574,666.53062102925,8505.9051010631,8485.3563729548,7395.28715689998,9918.83733601416
3,District,MWI_3_14,Dedza,both,unaware_plhiv_num,Number PLHIV unaware,1441.88624091114,291.677051089249,1411.55928784919,1396.1222247066,947.51935903218,2056.42443996792
3,District,MWI_3_14,Dedza,female,unaware_plhiv_num,Number PLHIV unaware,402.846454796818,83.3934620225993,394.595215432671,389.570256438693,258.968689257791,582.824423494622
3,District,MWI_3_14,Dedza,male,unaware_plhiv_num,Number PLHIV unaware,1039.03978611433,210.063196528699,1019.88996487619,1008.19989710122,677.279884816158,1471.73961642248
3,District,MWI_3_14,Dedza,both,aware_plhiv_num,Number PLHIV aware,20872.248154285,1657.28104561451,20818.6127448394,20777.3208952611,17867.6698992059,24252.3554826494
3,District,MWI_3_14,Dedza,female,aware_plhiv_num,Number PLHIV aware,13361.0314763136,1088.26580651988,13325.3493894103,13305.8141381686,11358.9740302628,15533.8215649086
3,District,MWI_3_14,Dedza,male,aware_plhiv_num,Number PLHIV aware,7511.21667797142,575.624051514926,7481.02790221309,7471.4791162471,6454.69826126845,8695.9924860559
3,District,MWI_3_15,Ntcheu,both,plhiv,PLHIV,29570.7068345545,2194.30602349998,29503.3945672979,29429.1961267885,25458.4266817801,34027.2315412612
3,District,MWI_3_15,Ntcheu,female,plhiv,PLHIV,18552.7218687868,1398.47143558856,18541.4871909771,18472.2814248336,15945.862280711,21446.0143883805
3,District,MWI_3_15,Ntcheu,male,plhiv,PLHIV,11017.9849657677,806.428385007786,10996.6423008324,10956.0860448752,9518.68752152117,12729.4947003275
3,District,MWI_3_15,Ntcheu,both,unaware_plhiv_num,Number PLHIV unaware,1881.66309467589,374.82019934692,1837.54594079068,1831.82473359489,1250.0121765861,2708.68362683401
3,District,MWI_3_15,Ntcheu,female,unaware_plhiv_num,Number PLHIV unaware,518.601289539617,104.255390346832,505.898457919053,504.857432234637,345.001374633294,741.281214429489
3,District,MWI_3_15,Ntcheu,male,unaware_plhiv_num,Number PLHIV unaware,1363.06180513628,276.079215596338,1334.75724306875,1326.99520402081,907.614837974348,1972.40427693448
